,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
139,Guinea-Bissau,Male,3.728,3.557,3.495,3.395,3.497,3.537,4.215,4.293,3.536,3.415,3.355
140,Guyana,Female,9.717,9.997,10.21,10.405,10.546,9.343,10.642,10.619,8.619,7.515,6.99
141,Guyana,Male,8.553,8.899,9.173,9.423,9.635,9.294,11.187,10.703,8.371,6.739,6.08
142,Haiti,Female,11.692,11.673,11.873,11.914,12.036,12.299,13.398,13.747,13.197,13.321,13.208
143,Haiti,Male,7.765,7.722,7.838,7.842,7.899,8.016,9.244,9.33,8.651,8.772,8.628
144,Honduras,Female,6.842,5.433,5.164,4.998,4.431,5.177,9.456,7.425,6.547,6.438,6.451
145,Honduras,Male,4.355,3.618,4.226,2.812,3.473,3.003,7.656,5.238,4.245,4.065,3.977
146,Hong Kong,Female,2.519,2.554,2.566,2.416,2.014,1.98,4.169,3.856,3.182,3.022,2.956
147,Hong Kong,Male,2.976,2.747,3.074,2.926,2.673,3.026,6.211,5.601,4.759,4.364,4.171
148,Hungary,Female,6.924,6.345,4.506,4.018,3.52,3.015,3.845,3.52,3.091,3.541,3.591
149,Hungary,Male,6.493,5.605,4.429,3.311,2.946,2.652,3.466,3.281,3.162,3.412,3.329
150,Iceland,Female,4.379,3.433,2.292,1.749,1.859,2.57,4.528,5.447,2.944,1.784,1.921
151,Iceland,Male,3.353,2.49,2.141,1.588,2.146,2.431,4.745,4.489,2.846,2.907,2.753
152,India,Female,5.581,5.434,5.301,5.181,5.071,3.69,4.333,3.597,2.796,2.36,2.28
153,India,Male,4.994,4.803,4.62,4.446,4.28,3.819,5.431,4.299,2.845,2.828,2.765
154,Indonesia,Female,1.453,1.923,1.539,1.423,1.906,1.474,1.821,1.425,1.28,1.24,1.222
155,Indonesia,Male,1.986,2.207,2.454,2.016,2.335,1.944,2.713,2.551,1.9,1.805,1.755
156,Iran,Female,15.838,15.917,17.317,16.419,16.095,14.884,13.498,13.66,13.407,13.298,13.206
157,Iran,Male,7.092,7.653,8.741,8.563,8.881,7.591,7.196,6.723,6.359,6.204,6.133
158,Iraq,Female,17.175,17.919,18.376,25.492,23.766,22.181,21.24,19.84,21.93,22.892,23.512
159,Iraq,Male,5.46,5.332,5.058,6.831,7.2,7.643,8.975,9.405,9.425,9.447,9.315
160,Ireland,Female,9.609,7.893,6.717,5.41,4.734,3.846,4.334,4.847,3.749,3.318,3.612
161,Ireland,Male,10.823,9.037,7.542,5.929,4.614,4.003,4.427,5.101,3.539,3.575,3.904
162,Israel,Female,4.767,4.46,4.061,3.548,3.231,3.219,3.256,4.151,3.052,2.792,3.172
163,Israel,Male,4.938,4.321,3.918,3.563,3.417,3.205,3.836,4.44,3.228,2.98,3.298
164,Italy,Female,11.772,10.856,11.082,10.894,10.413,9.915,9.073,9.396,8.386,7.783,7.971
165,Italy,Male,9.828,9.479,9.208,8.863,8.405,7.878,7.166,7.421,6.105,5.877,6.051
166,Jamaica,Female,8.199,8.342,8.349,7.175,4.941,4.549,5.457,5.483,4.886,4.816,4.583
167,Jamaica,Male,4.757,4.455,4.142,3.529,2.69,2.6,4.093,3.877,3.435,3.295,3.322
168,Japan,Female,3.146,2.898,2.667,2.471,2.136,2.0,2.373,2.388,2.245,2.305,2.44
169,Japan,Male,3.515,3.444,3.169,2.813,2.535,2.362,2.849,2.886,2.592,2.673,2.784
170,Jordan,Female,11.086,12.369,14.492,20.895,18.015,17.606,19.092,20.299,19.443,19.466,19.484
171,Jordan,Male,5.857,6.505,8.189,11.633,12.24,11.112,13.369,13.898,13.274,13.09,12.979
172,Kazakhstan,Female,5.881,5.697,5.698,5.594,5.533,5.474,5.5,6.295,5.548,5.367,5.311
173,Kazakhstan,Male,4.598,4.495,4.54,4.501,4.441,4.38,4.559,5.19,4.444,4.24,4.16
174,Kenya,Female,1.778,1.783,1.787,2.331,2.831,3.32,4.307,5.458,5.47,5.377,5.303
175,Kenya,Male,1.345,1.348,1.347,1.989,2.585,3.165,3.294,2.935,2.815,2.696,2.609
176,North Korea,Female,1.989,2.013,2.034,2.006,1.966,2.018,2.12,2.324,2.276,2.235,2.211
177,North Korea,Male,2.158,2.142,2.141,2.083,2.06,2.112,2.358,2.519,2.39,2.339,2.301
178,South Korea,Female,2.49,2.865,2.924,2.936,3.149,3.111,3.576,3.476,2.812,2.561,2.63
179,South Korea,Male,2.828,3.234,3.36,3.432,3.601,3.556,3.575,3.328,2.529,2.53,2.69
180,Kuwait,Female,5.112,3.774,4.408,4.48,4.523,4.6,6.942,5.986,4.705,4.491,4.325
181,Kuwait,Male,1.099,0.682,0.553,0.57,0.575,0.593,1.385,1.086,0.593,0.545,0.496
182,Kyrgyzstan,Female,2.422,2.524,2.675,2.825,2.907,3.533,4.108,3.526,3.48,3.484,3.489
183,Kyrgyzstan,Male,2.516,2.617,2.726,2.822,2.908,3.181,3.651,3.095,3.024,3.056,3.069
184,Laos,Female,1.104,1.339,1.589,1.843,1.894,1.958,2.099,2.601,2.377,2.368,2.373
185,Laos,Male,1.761,2.139,2.535,2.936,2.998,3.083,3.756,4.137,3.708,3.681,3.676
186,Latvia,Female,9.02,8.194,8.122,7.131,6.065,5.141,6.583,6.07,5.209,4.799,5.003
187,Latvia,Male,11.022,10.372,9.908,9.01,8.074,6.647,8.735,8.001,7.186,7.331,7.44
188,Lebanon,Female,9.961,10.439,10.91,11.361,11.815,12.419,14.039,13.87,13.176,13.137,12.985
189,Lebanon,Male,5.151,5.527,5.895,6.224,6.526,6.916,8.634,8.215,7.244,7.16,6.956
190,Lesotho,Female,14.173,14.485,14.439,14.843,15.127,15.384,16.431,16.833,15.449,15.117,14.945
191,Lesotho,Male,13.402,13.639,13.545,13.89,14.121,14.328,15.882,15.896,14.239,13.859,13.652
192,Liberia,Female,1.979,2.167,2.386,2.374,2.367,2.378,3.013,3.081,2.362,2.223,2.169
